Instrument,Header,InstrumentFrequency,InstrumentTransducerLocation,InstrumentTransducerManufacturer,InstrumentTransducerModel,InstrumentTransducerSerial,InstrumentTransducerBeamType,InstrumentTransducerDepth,InstrumentTransducerOrientation,InstrumentTransducerPSI,InstrumentTransducerBeamAngleMajor,InstrumentTransducerBeamAngleMinor,InstrumentTransceiverManufacturer,InstrumentTransceiverModel,InstrumentTransceiverSerial,InstrumentTransceiverFirmware,InstrumentComments,InstrumentID,,,,,,
Instrument,Record,38,AB,Simrad,ES38B,31342,S2,8,elevation 45° azimuth 90° rotation 270°,-20.6,7,7.03,Simrad,GPT,00907208a0bc,2.4.3,,I1,,,,,,
Calibration,Header,CalibrationDate,CalibrationAcquisitionMethod,CalibrationProcessingMethod,CalibrationAccuracyEstimate,CalibrationReport,CalibrationComments,CalibrationID,,,,,,,,,,,,,,,,
Calibration,Record,29/02/2016,SS,calibration.exe,0.06,,,C1,,,,,,,,,,,,,,,,
DataAcquisition,Header,DataAcquisitionSoftwareName,DataAcquisitionSoftwareVersion,DataAcquisitionStoredDataFormat,DataAcquisitionPingDutyCycle,DataAcquisitionComments,DataAcquisitionID,,,,,,,,,,,,,,,,,
DataAcquisition,Record,ER60,2.4.3,RAW,continuous pinging at 0.6 per second,,DA1,,,,,,,,,,,,,,,,,
DataProcessing,Header,DataProcessingSoftwareName,DataProcessingSoftwareVersion,DataProcessingTriwaveCorrection,DataProcessingChannelID,DataProcessingBandwidth,DataProcessingFrequency,DataProcessingTransceiverPower,DataProcessingTransmitPulseLength,DataProcessingOnAxisGain,DataProcessingOnAxisGainUnit,DataProcessingSaCorrection,DataProcessingAbsorption,DataProcessingAbsorptionDescription,DataProcessingSoundSpeed,DataProcessingSoundSpeedDescription,DataProcessingTransducerPSI,DataProcessingComments,DataProcessingID,,,,,
DataProcessing,Record,LSSS,1.11.0,NA,ChannelID2,2.43,38,2000,1.024,26.44,dB,-0.64,9.7,estimated by ER60,1498,measured at calibration,3,,DP1,,,,,
EchoType,Header,EchoTypeStratum,EchoTypeSpeciesCode,EchoTypeSpeciesCategory,EchoTypeComments,EchoTypeID,,,,,,,,,,,,,,,,,,
EchoType,Record,SURF,126417,1,,ET1,,,,,,,,,,,,,,,,,,
EchoType,Record,SURF,126436,1,,ET1,,,,,,,,,,,,,,,,,,
EchoType,Record,CLAS,126417,1,,ET2,,,,,,,,,,,,,,,,,,
EchoType,Record,CLAS,126436,1,,ET2,,,,,,,,,,,,,,,,,,
Cruise,Header,CruiseSurvey,CruiseCountry,CruisePlatform,CruiseStartDate,CruiseEndDate,CruiseOrganisation,CruiseLocalID,,,,,,,,,,,,,,,,
Cruise,Record,HERAS~CSHAS,IE,45CE,27/02/2018,22/03/2018,396,45CE201605,,,,,,,,,,,,,,,,
Data,Header,LogDistance,LogTime,LogLatitude,LogLongitude,LogOrigin,LogBottomDepth,LogValidity,SampleChannelDepthUpper,SampleChannelDepthLower,SamplePingAxisInterval,SamplePingAxisIntervalType,SamplePingAxisIntervalUnit,SampleSvThreshold,InstrumentID,CalibrationID,DataAcquisitionID,DataProcessingID,SamplePingAxisIntervalOrigin,EchoTypeID,DataType,DataUnit,DataValue,CruiseLocalID
Data,Record,1,2018-03-04T19:13:09,58.35,-2.423,start,112,V,0,10,1,distance,nmi,-70,I1,C1,DA1,DP1,start,ET1,C,m2nmi-2,0,45CE201605
Data,Record,1,2018-03-04T19:13:09,58.35,-2.423,start,112,V,0,10,1,distance,nmi,-70,I1,C1,DA1,DP1,start,ET2,C,m2nmi-2,0,45CE201605
Data,Record,1,2018-03-04T19:13:09,58.35,-2.423,start,112,V,10,20,1,distance,nmi,-70,I1,C1,DA1,DP1,start,ET2,C,m2nmi-2,0,45CE201605
Data,Record,2,2018-03-04T19:19:55,58.35,-2.392,start,115,V,0,10,1,distance,nmi,-70,I1,C1,DA1,DP1,start,ET1,C,m2nmi-2,0,45CE201605
Data,Record,2,2018-03-04T19:19:55,58.35,-2.392,start,115,V,0,10,1,distance,nmi,-70,I1,C1,DA1,DP1,start,ET2,C,m2nmi-2,0,45CE201605
Data,Record,2,2018-03-04T19:19:55,58.35,-2.392,start,115,V,10,20,1,distance,nmi,-70,I1,C1,DA1,DP1,start,ET1,C,m2nmi-2,15.34,45CE201605
Data,Record,2,2018-03-04T19:19:55,58.35,-2.392,start,115,V,10,20,1,distance,nmi,-70,I1,C1,DA1,DP1,start,ET2,C,m2nmi-2,10.12,45CE201605
Data,Record,2,2018-03-04T19:19:55,58.35,-2.392,start,115,V,20,30,1,distance,nmi,-70,I1,C1,DA1,DP1,start,ET1,C,m2nmi-2,0,45CE201605
Data,Record,2,2018-03-04T19:19:55,58.35,-2.392,start,115,V,20,30,1,distance,nmi,-70,I1,C1,DA1,DP1,start,ET2,C,m2nmi-2,0,45CE201605
